ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK,"41,39,30,28,26,24,22,20,18,16,15,14,13,11,7,5,2,1"
14722656.0,LKK029,,LKK SRIRACHA MAYO 445ML,1.0,CASE,$67.97,12.0,NO,W20,
16506758.0,MRN001,,MARUKAN GOURMET RICE VINEGAR 355ML,1.0,CASE,$43.00,12.0,NO,W20,
17307541.0,MRN002,,MARUKAN BREWED RICE VINEGAR 355ML,1.0,CASE,$42.00,12.0,NO,W20,
8170499.0,PGD001,,PAGODA SHAOXIN SALTED COOKING WINE 640ML,1.0,CASE,$38.00,12.0,NO,W20,
17468117.0,GLI014,,GLICO POCKY CRUNCHY STRAWBERRY 51G,2.0,CASE,$27.00,10.0,YES,W20,
10366453.0,GLI010,,GLICO POCKY CHOCOLATE 70G,2.0,CASE,$23.33,10.0,YES,W20,
15757552.0,GLI003,,GLICO POCKY CHOCOLATE SMALL 40G,2.0,CASE,$12.10,10.0,YES,W20,
11639299.0,GLI005,,GLICO POCKY STRAWBERRY 33G,2.0,CASE,$12.00,10.0,YES,W20,
12765082.0,HTI001,,HAITAI HONEY BUTTER CHIPS 60G,1.0,CASE,$48.80,16.0,NO,W20,
19550734.0,NTC005,,NATURES CHARM COCONUT CUSTARD 400G,1.0,CASE,$85.00,24.0,NO,W20,
15016468.0,MMA003,,MAMA INST NOODLES CHICKEN FLAVOUR 55G,2.0,CASE,$16.80,24.0,NO,W20,
8169041.0,MMA001,,MAMA INST NOODLES PORK FLAVOUR 60G,2.0,CASE,$16.80,24.0,NO,W20,
18601471.0,VTS022,,VITASOY BLACK 6PACK,2.0,CASE,$36.00,8.0,NO,W18,
8170512.0,VTS025,,VITASOY MELON FLV SOYA DRINK 6PACK,2.0,CASE,$36.00,8.0,NO,W18,
15002674.0,VTS024,,VITASOY CHOCOLATE FLV SOY DRINK 6PACK,2.0,CASE,$36.00,8.0,NO,W18,
19276970.0,YNY066,,YY WHOLE WATER CHESTNUT 227G,1.0,CASE,$30.00,24.0,NO,W18,
19277111.0,WAN002,,WANT CRISP RICE CRACKER ROUND 150G,1.0,CASE,$65.90,20.0,NO,W18,
8170533.0,DNY003,,DYNASTY WATERCHESTNUT SLICED 227G,1.0,CASE,$19.00,12.0,NO,W18,
19277000.0,CJO001,,DAESANG HOT PEPPER PASTE YELLOW LID 1KG,1.0,CASE,$140.00,12.0,NO,W18,
9734766.0,INM001,,INDOMIE MI GORENG FRIED NOODLE 425G,1.0,CASE,$19.20,6.0,NO,W18,
12835559.0,,,HANAMARUKI SOYBEAN PASTE WHITE 500G,2.0,CASE,$27.00,6.0,NO,W16,
8170525.0,,,SAMBAL OELEK 213G,2.0,CASE,$62.40,24.0,NO,W16,
8170534.0,,,FISH SAUCE LUCKY 700ML,1.0,CASE,$19.20,12.0,NO,W16,
19036185.0,,,FARMER ROAST PEANUT 400G,1.0,CASE,$130.08,24.0,NO,W16,
19036588.0,,,YY SUSHI NORI 28G,1.0,CASE,$22.33,10.0,NO,W16,
19036199.0,,,CHEWY JAPANESE RAMEN NOODLES GREEN 800G,1.0,CASE,$48.50,12.0,NO,W16,
18737379.0,,,CHEWY JAPANESE UDON NOODLES 800G,1.0,CASE,$37.29,9.0,NO,W16,
19036205.0,,,SAMYANG CARBO BOWL 150G,1.0,CASE,$37.80,16.0,NO,W16,
18966461.0,,,NISSIN BEEF NOODLES MULTI 100GX5,1.0,CASE,$30.00,6.0,NO,W15,
18966469.0,,,GLICO POCKY CHOCOLATE BAG 156G,2.0,CASE,$21.50,10.0,NO,W15,
10366453.0,,,GLICO POCKY CHOCOLATE 70G,2.0,CASE,$23.33,20.0,NO,W15,
10366471.0,,,GLICO POCKY CHOCO BANANA 70G,2.0,CASE,$22.50,20.0,NO,W15,
15757620.0,,,GLICO POCKY COOKIES & CREAM 70G,2.0,CASE,$22.50,20.0,NO,W15,
17468117.0,,,GLICO POCKY CRUNCHY STRAWBERRY 51G,2.0,CASE,$27.00,20.0,NO,W15,
8170512.0,,,VITASOY MELON FLV SOYA DRINK 6PACK,2.0,CASE,$46.00,16.0,NO,W15,
15002674.0,,,VITASOY CHOCOLATE FLV SOY DRINK 6PACK,2.0,CASE,$44.00,16.0,NO,W15,
18502273.0,,,VITASOY COCONUT 6PACK,2.0,CASE,$42.00,16.0,NO,W15,
9734766.0,,,INDOMIE MI GORENG FRIED NOODLE 425G,2.0,CASE,$21.00,12.0,NO,W15,
19036393.0,,,HUY FONG SRIRACHA HOT CHILLI 433ML,2.0,CASE,$63.00,12.0,NO,W15,
18966548.0,,,TYJ PEANUT RICE BALL 200G,1.0,CASE,$45.00,24.0,NO,W15,
8181044.0,,,KEWPIE MAYONNAISE 517ML,1.0,CASE,$157.00,20.0,NO,W15,
18864458.0,NOS015,,NONGSHIM OOLONG NOODLE SEAFOOD 75G,1.0,CASE,$9.72,6.0,NO,W14,
8170504.0,SAY011,,SAMYANG HOT CHICK FLA RAM 2X SPICY 700G,2.0,CASE,$64.00,8.0,NO,W14,
18864464.0,KRI002,,KINJIRUSHI WASABI POWDER 25G,1.0,CASE,$30.00,10.0,NO,W14,
18864471.0,LKK006,,LKK PREMIUM OYSTER SAUCE 510G,1.0,CASE,$192.00,24.0,NO,W14,
18864495.0,LKK013,,LKK SRIRACHA CHILI SAUCE 445ML,1.0,CASE,$51.04,12.0,NO,W14,
8170510.0,VTS024,,VITASOY CHOCOLATE FLV SOY DRINK 250ML,2.0,CASE,$44.00,48.0,NO,W13,
18094208.0,SHB008,,TYJ SESAME GLUT RICE BALL 200G,1.0,CASE,$45.00,24.0,NO,W13,
8169627.0,LOT009,,LOTTE MILKIS 1.5L,1.0,CASE,$54.00,12.0,YES,W13,
18767617.0,MPP001,,MARBLE POP GREEN APPLE DRINK 200ML,1.0,CASE,$36.00,12.0,YES,W13,
18767628.0,MPP004,,MARBLE POP BLUEBERRY 200ML,1.0,CASE,$35.00,12.0,YES,W13,
10472728.0,,,LKK HOISIN SAUCE 443ML,1.0,CASE,$42.00,12.0,NO,W11,
18601471.0,,,VITASOY BLACK 6PACK,2.0,CASE,$36.00,8.0,NO,W11,
12222935.0,,,VITASOY ORIGINAL 6PACK,2.0,CASE,$36.00,8.0,NO,W11,
15757675.0,,,WATSON LONG THIN NOODLE 440G,1.0,CASE,$51.30,18.0,NO,W11,
8170314.0,,,INDOMIE PEDAS HOT STIRFRY NDLS 5PACK 80G,2.0,CASE,$21.60,6.0,NO,W11,
15016482.0,,,INDOMIE MI BBQ CHICKEN FRIED NOODLE 425G,2.0,CASE,$19.20,6.0,NO,W11,
18127362.0,,,LUCKY ME PANCIT CANTON KALAMANSI 360G,1.0,CASE,$43.20,12.0,NO,W11,
16980174.0,,,LUCKY ME PANCIT CANTON SWEET &SPICY 360G,1.0,CASE,$42.00,12.0,NO,W11,
18481495.0,,,LUCKY ME PANCIT CANTON ORI 360G,1.0,CASE,$43.20,12.0,NO,W11,
17189832.0,,,PALDO BUL NAK PAN STIR FRY NOODLES 4PKS,2.0,CASE,$25.00,4.0,NO,W11,
8170514.0,,,WATSON SLICED NOODLE 440G,1.0,CASE,$50.00,18.0,NO,W11,
18256061.0,,,WATSON LANZHOU NOODLE 440G,1.0,CASE,$50.00,18.0,NO,W11,
8170526.0,,,ABC SWEET SOY SAUCE 620ML,1.0,CASE,$85.68,12.0,NO,W11,
17189952.0,,,HANAMARUKI SOYBEAN PASTE RED 500G,2.0,CASE,$27.00,6.0,NO,W11,
