ProductId,ItemId,SUPPLIER (user input),DESCRIPTION,QTY,UNITS,"BOX
COST","UNITS
PER BOX",HST,WEEK,"41,39,30,28,26,24,22,20,18,16,15,14,13,11,7,5,2,1"
15733673,HAK001,,HAKUBAKU ORGANIC SOMEN 269g,1,CASE,$24.00,8,NO,W28,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,2,CASE,$65.20,8,NO,W28,
16980174,LKM017,,LUCKY ME PANCIT CANTON SWEET &SPICY 360G,1,CASE,$43.20,12,NO,W26,
18127362,LKM015,,LUCKY ME PANCIT CANTON KALAMANSI 360G,1,CASE,$43.20,12,NO,W26,
8169512,SAY009,,SAMYANG BULDAK BOKKUMYUN CARBO M 130GX5,1,CASE,$65.20,8,NO,W26,
17189952,HMK002,,HANAMARUKI SOYBEAN PASTE RED 500G,1,CASE,$27.00,6,NO,W26,
12835559,HMK001,,HANAMARUKI SOYBEAN PASTE WHITE 500G,1,CASE,$27.00,6,NO,W26,
14722670,LKK087,,LKK 36OZ HOISIN SAUCE 797ML,1,CASE,$72.00,12,NO,W26,
8173338,SQU001,,SQUID BRAND FISH SAUCE 725ML,2,CASE,$52.00,24,NO,W26,
8169625,LOT012,,LOTTE CHOCO PIE 12PK 336G,1,CASE,$36.00,8,NO,W26,
8170517,YNY056,,Y Y BRAND SEA GREENS SEAWEED CLASSIC 15G,1,CASE,$44.00,24,NO,W26,
8170519,YNY059,,Y Y BRAND SEA GREENS SEAWEED BBQ 15G,1,CASE,$44.00,24,NO,W26,
18864471,LKK111,,LKK PREMIUM OYSTER SAUCE 510G,1,CASE,$96.00,12,NO,W26,
17605284,WAN001,,WANT RICE CRACKER 92G,1,CASE,$51.00,20,NO,W26,
20267909,ASI003,,ASSI STRAWBERRY FLAVOUR DRINK 315ML,1,CASE,$21.21,20,NO,W26,
8170526,ABC001,,ABC SWEET SOY SAUCE 620ML,1,CASE,$85.68,12,NO,W26,
19036588,YNY073,,YY SUSHI NORI 28G,1,CASE,$22.33,10,YES,W24,
20010969,WPC001,,WEL-PAC EDAMAME BEANS 454G,1,CASE,$72.50,20,NO,W24,
18069704,KIK006,,KIKKOMAN MISO SOUP MIX SPINACH 30G,1,CASE,$87.00,24,NO,W24,
8170540,KIK002,,KIKKOMAN MISO SOUP MIX WITH TOFU 30G,1,CASE,$87.00,24,NO,W24,
18737379,CHY002,,CHEWY JAPANESE UDON NOODLES 800G,2,CASE,$37.29,9,NO,W24,
8170496,ORY001,,OH RICEY DRIED RICE NOODLE 500G,1,CASE,$68.00,18,NO,W24,
18768077,ORY002,,OH RICEY PHO BEEF BOWL 65G,2,CASE,$17.00,12,NO,W24,
18768073,ORY006,,OH RICEY PHO CHICKEN BOWL 65G,2,CASE,$17.00,12,NO,W24,
20011023,HYF007,,HUY FONG KETCHUP 490ML,2,CASE,$27.00,6,NO,W24,
8181044,OTH015,,KEWPIE MAYONNAISE 517ML,1,CASE,$157.00,20,NO,W24,
8170509,LKK004,,LKK VEG MUSH STIR FRY SAUCE 567G,1,CASE,$48.16,12,NO,W24,
12222880,LKK011,,LKK VEG STIR FRY SAUCE 421ML,1,CASE,$52.00,12,NO,W24,
8173385,MAP003,,MAEPLOY SWEET CHILLI SAUCE 730ML,1,CASE,$37.00,12,NO,W24,
8370478,PRB005,,PRB LIGHT SOY SAUCE 500ML,1,CASE,$35.00,12,NO,W24,
12532371,PRB007,,PRB DARK SOY SAUCE 500ML,1,CASE,$50.00,12,NO,W24,
8170502,SNB001,,S B WASABI IN TUBE 43G,1,CASE,$23.00,10,YES,W24,
18737379,CHY002,,CHEWY JAPANESE UDON NOODLES 800G,1,CASE,$37.29,9,NO,W22,
16980146,LKM003,,LUCKY ME INS PANCIT CANTON HOT CHILI 60G,1,CASE,$42.00,12,NO,W22,
18127362,LKM015,,LUCKY ME PANCIT CANTON KALAMANSI 360G,1,CASE,$43.20,12,NO,W22,
